atan__NEG1dot0ENEG8SEPsp1dot0ENEG8_,  4.8828125e-12, 4.8828125e-12, 20.01, 19.12, 19.64, Failure: Sturm sequence, 2.76, Failure: Sturm sequence, 2.75, Failure: Sturm sequence, 2.75,,
sin__NEG1dot57079632679SEPsp1dot57079632679_,  .00485705517133263, .00485705517133263, 23.25, 23.34, 23.54, Valid error, 14.58, Valid error, 14.56, Valid error, 14.55,,
sin__NEG1dot570796SEPsp1dot570796_,  4.8570506260463215e-3, 4.8570506260463215e-3, 20.11, 19.31, 19.59, Valid error, 14.28, Valid error, 14.26, Valid error, 14.24,,
sin__NEG1dot57SEPsp1dot57_,  4.845989367641505e-3, 4.845989367641505e-3, 18.77, 17.99, 19.54, Valid error, 14.36, Valid error, 14.34, Valid error, 14.33,,
sin__NEG20dot0SEPspNEG18dot0_,  .00098664469038901, .00098664469038901, 16.74, 18.98, 16.28, Invalid zero IV:Bounding error too large, 11.95, Invalid zero IV:Bounding error too large, 11.90, Invalid zero IV:Bounding error too large, 11.88,,
sin__NEG2dot005SEPsp2dot0027015115293407_,  1.4700933012452429e-2, 1.4700933012452429e-2, 19.24, 17.93, 19.31, Valid error, 14.45, Valid error, 14.45, Valid error, 14.45,,
sin__NEG2dot025SEPsp2dot025_,  1.5378784185859733e-2, 1.5378784185859733e-2, 18.46, 18.81, 18.10, Valid error, 14.02, Valid error, 14.00, Valid error, 14.00,,
sin__NEG2dot0SEPsp2dot0_,  1.4535434575539912e-2, 1.4535434575539912e-2, 17.90, 17.33, 17.53, Valid error, 14.26, Valid error, 14.22, Valid error, 14.23,,
sin__NEG3dot0SEPsp3dot0_,  .08712866825519848, .08712866825519848, 17.92, 17.57, 17.63, Valid error, 16.02, Valid error, 15.98, Valid error, 15.99,,
sin__NEG3dot14SEPsp3dot14_,  .10533973150262632, .10533973150262632, 18.17, 18.01, 18.39, Valid error, 15.69, Valid error, 15.67, Valid error, 15.68,,
sin__NEG5dot0SEPsp5dot0_,  .5448648559385261, .5448648559385261, 18.17, 18.55, 17.97, Valid error, 15.36, Valid error, 15.32, Valid error, 15.34,,
sin__NEG6dot2831853SEPspNEG0dot5_,  .10667982517758652, .10667982517758652, 20.45, 21.89, 21.45, Invalid zero IV:Bounding error too large, 13.43, Invalid zero IV:Bounding error too large, 13.39, Invalid zero IV:Bounding error too large, 13.37,,
sin__NEG6dot28SEPsp6dot28_,  .8716394805955235, .8716394805955235, 19.07, 18.70, 19.21, Invalid zero IV:Bounding error too large, 14.33, Invalid zero IV:Bounding error too large, 14.31, Invalid zero IV:Bounding error too large, 14.31,,
sin__NEG9dot42SEPsp9dot42_,  1.0000001050853708, 1.0000001050853708, 19.37, 18.15, 17.34, Invalid zero IV:Bounding error too large, 17.94, Invalid zero IV:Bounding error too large, 17.89, Invalid zero IV:Bounding error too large, 17.91,,
sqrt__0dot00482842712474619SEPsp48dot2842712474619_,  .29653591545087216, .29653591545087216, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
sqrt__0dot1SEPsp1dot0_,  4.046261417608125e-3, 4.046261417608125e-3, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
sqrt__2dot0ENEG6SEPsp200dot0_,  .6513755395579973, .6513755395579973, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
sqrt__2dot0SEPsp20000dot0_,  6.035169313820306, 6.035169313820306, 22.75, 22.12, 22.92, Invalid zero IV:Bounding error too large, 16.92, Invalid zero IV:Bounding error too large, 16.88, Invalid zero IV:Bounding error too large, 16.89,,
tan__NEG1dot0SEPsp1dot0_,  .02070331834647414, .02070331834647414, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
tan__NEG1dot1SEPsp0dot9_,  .04244746975940913, .04244746975940913, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
tan__NEG1dot57079632679SEPsp1dot57079632679_,  102334796056.53687, 102334796056.53687, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,

