atan__NEG1dot0ENEG8SEPsp1dot0ENEG8_,  4.8828125e-12, 4.8828125e-12, 23.79, 22.47, 23.46, Valid error, 40.72, Valid error, 40.71, Valid error, 40.69,,
sin__NEG2dot005SEPsp2dot0027015115293407_,  3.5606979081923327e-4, 3.5606979081923327e-4, 19.61, 20.86, 20.88, Valid error, 357.65, Valid error, 357.34, Valid error, 357.54,,
sin__NEG2dot025SEPsp2dot025_,  3.807105558353201e-4, 3.807105558353201e-4, 19.73, 19.65, 20.06, Valid error, 358.37, Valid error, 358.18, Valid error, 358.72,,
sin__NEG2dot0SEPsp2dot0_,  3.5012358135519546e-4, 3.5012358135519546e-4, 18.13, 18.12, 18.96, Valid error, 364.90, Valid error, 364.33, Valid error, 364.39,,
sin__NEG3dot0SEPsp3dot0_,  6.314366122229759e-3, 6.314366122229759e-3, 18.48, 18.61, 17.66, Valid error, 360.54, Valid error, 360.45, Valid error, 360.35,,
sin__NEG3dot14SEPsp3dot14_,  8.167526878310613e-3, 8.167526878310613e-3, 19.33, 18.60, 18.58, Valid error, 364.59, Valid error, 364.56, Valid error, 364.57,,
sin__NEG5dot0SEPsp5dot0_,  .11082945400452006, .11082945400452006, 19.02, 18.01, 18.59, Valid error, 405.32, Valid error, 405.22, Valid error, 405.37,,
sin__NEG6dot2831853SEPspNEG0dot5_,  .01215938892604348, .01215938892604348, 25.60, 24.17, 25.25, Valid error, 312.24, Valid error, 312.84, Valid error, 312.89,,
sin__NEG6dot28SEPsp6dot28_,  .32888160509676856, .32888160509676856, 19.40, 19.35, 18.88, Valid error, 383.14, Valid error, 383.21, Valid error, 383.03,,
sin__NEG9dot42SEPsp9dot42_,  .953857653442486, .953857653442486, 19.02, 19.86, 18.93, Valid error, 368.44, Valid error, 368.14, Valid error, 367.69,,

